irn,DarGlobalUniqueIdentifier,AdmDateInserted,AdmDateModified,DarImageURL,DarIndividualCount,DarBasisOfRecord,DarLatitude,DarLongitude,DarCountry,DarContinent,DarContinentOcean,DarWaterBody,DarCollectionCode,DarEarliestAge,DarEarliestEon,DarEarliestEpoch,DarEarliestEra,DarEarliestPeriod,AttPeriod_tab,DesEthnicGroupSubgroup_tab,DesMaterials_tab,DarOrder,DarScientificName,ClaRank,ComName_tab,DarRelatedInformation,CatProject_tab,DarYearCollected,DarMonthCollected,EcbNameOfObject,CatLegalStatus,DarCatalogNumber,DarCollector,RecordType,TaxIDRank
211628,86647eae-d221-4f7a-9078-21661ec01b73,2004-11-14,2015-03-06,http://fm-digital-assets.fieldmuseum.org/34/885/8791.jpg,,Specimen,7.0758,-65.9119,VENEZUELA,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Drejera boliviensis Nees,Species,,Berlin Negatives,Berlin Negatives,NA,NA,,NA,NA,E. von Otto,Catalog,Species
211629,6c8967c8-2409-4132-8926-071cf59bd42c,2004-11-14,2015-03-06,http://fm-digital-assets.fieldmuseum.org/231/730/6285.jpg,,Specimen,-10.8339,-52.8731,BRAZIL,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Drepanocarpus aristulatus Spruce ex Benth.,Species,,Negatives/Types,Negatives/Types,1850,8,,NA,NA,R. Spruce,Catalog,Species
211630,97fcdcc2-fbdb-4663-8c96-0b7410fa4415,2004-11-14,2015-03-06,,,Specimen,-10.8339,-52.8731,BRAZIL,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Drepanocarpus crista-castrensis var. latifolius Benth.,Variety,,Negatives/Types,Negatives/Types,1852,10,,NA,NA,R. Spruce,Catalog,Species
211631,520680b6-ca7b-471a-b327-c39787bd7dde,2004-11-14,2015-03-06,http://fm-digital-assets.fieldmuseum.org/372/360/30637.jpg,,Specimen,23,-102,MEXICO,North America,North America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Drepanocarpus cyathiformis DC.,Species,,Negatives/Types,Negatives/Types,NA,NA,,NA,NA,M. Sessé & J. M. Mociño,Catalog,Species
211632,b0f89332-887a-44e7-a8b0-05001a32d147,2004-11-14,2015-03-06,,,Specimen,-10.8339,-52.8731,BRAZIL,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Drepanocarpus microphyllus Wawra,Species,,Negatives/Types,Negatives/Types,NA,NA,,NA,NA,Peckolt,Catalog,Species
211633,fe268f33-94bd-48e9-bc94-0fad6321d878,2004-11-14,2015-03-06,http://fm-digital-assets.fieldmuseum.org/369/585/30444.jpg,,Specimen,23,-102,MEXICO,North America,North America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Drimys mexicana Moc. & Sessé ex DC.,Species,,Negatives/Types,Negatives/Types,NA,NA,,NA,NA,M. Sessé & J. M. Mociño,Catalog,Species
211634,f712e2c7-795b-48d7-a665-6fe6b61f4a57,2004-11-14,2015-03-06,,,Specimen,-10.8339,-52.8731,BRAZIL,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Drosera communis A. St.-Hil.,Species,,Negatives/Types,Negatives/Types,NA,NA,,NA,NA,A. Saint-Hilaire,Catalog,Species
211635,57ad8c83-544b-4a4f-a598-0c6befb8f043,2004-11-14,2015-03-06,,,Specimen,-10.8339,-52.8731,BRAZIL,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Drosera hirtella A. St.-Hil.,Species,,Negatives/Types,Negatives/Types,NA,NA,,NA,NA,A. Saint-Hilaire,Catalog,Species
211636,6fcb1ad7-ade0-4077-bb6c-dec23c84aeca,2004-11-14,2015-03-06,,,Specimen,-10.8339,-52.8731,BRAZIL,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Drosera montana A. St.-Hil.,Species,,Negatives/Types,Negatives/Types,NA,NA,,NA,NA,A. Saint-Hilaire,Catalog,Species
211637,0193377e-6f37-45d8-8615-736201d33ed7,2004-11-14,2016-01-07,http://fm-digital-assets.fieldmuseum.org/1257/346/31376.jpg,,Specimen,-35.8156,-70.8906,CHILE,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Alstroemeria quilltoensis Herb.,Species,,Negatives/Types,Negatives/Types,NA,NA,,NA,NA,T. C. Bridges,Catalog,Species
211638,5c02c271-1f7e-4824-8b14-a3ef0b6e21c2,2004-11-14,2015-03-06,,,Specimen,-10.8339,-52.8731,BRAZIL,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Drosera parvifolia A. St.-Hil.,Species,,Negatives/Types,Negatives/Types,NA,NA,,NA,NA,A. Saint-Hilaire,Catalog,Species
211639,a583c68c-1253-4a02-a204-0fa65767eef7,2004-11-14,2015-03-06,,,Specimen,-10.8339,-52.8731,BRAZIL,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Drosera spiralis A. St.-Hil.,Species,,Negatives/Types,Negatives/Types,NA,NA,,NA,NA,A. Saint-Hilaire,Catalog,Species
211640,f0ad66f0-064c-457e-a1a1-8dc6762c0e8d,2004-11-14,2015-03-06,,,Specimen,-10.8339,-52.8731,BRAZIL,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Drosera tomentosa A. St.-Hil.,Species,,Negatives/Types,Negatives/Types,NA,NA,,NA,NA,A. Saint-Hilaire,Catalog,Species
211641,bd353c70-7896-49c4-bfbf-0d964d364810,2004-11-14,2015-03-06,,,Specimen,-10.8339,-52.8731,BRAZIL,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Drosera villosa A. St.-Hil.,Species,,Negatives/Types,Negatives/Types,NA,NA,,NA,NA,A. Saint-Hilaire,Catalog,Species
211642,4ff1e060-84c9-44b3-891a-05625585cbe2,2004-11-14,2016-01-07,http://fm-digital-assets.fieldmuseum.org/1256/749/31181.jpg,,Specimen,-9.1839,-74.14,PERU,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Drymaria apetala Bartl.,Species,,Negatives/Types,Negatives/Types,NA,NA,,NA,NA,T. P. X. Haenke,Catalog,Species
211643,21a04115-54f5-41de-a968-2c5ab2a05048,2004-11-14,2015-03-06,,,Specimen,23,-102,MEXICO,North America,North America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Drymaria arenarioides Wedd.,Species,,Negatives/Types,Negatives/Types,NA,NA,,NA,NA,F. W. H. A. von Humboldt & A. J. A. Bonpland,Catalog,Species
211644,ea3bd9cc-4966-4eda-a155-20d10fe3822e,2004-11-14,2015-03-06,http://fm-digital-assets.fieldmuseum.org/369/399/30256.jpg,,Specimen,-9.1839,-74.14,PERU,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Drymaria agapatensis Baehni & J. F. Macbr.,Species,,Negatives/Types,Negatives/Types,1854,NA,,NA,NA,W. Lechler,Catalog,Species
211645,7af287a4-c472-4eae-8f8b-33a3b689bf60,2004-11-14,2015-03-06,,,Specimen,-9.1839,-74.14,PERU,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Drymaria divaricata Kunth,Species,,Negatives/Types,Negatives/Types,NA,NA,,NA,NA,F. W. H. A. von Humboldt & A. J. A. Bonpland,Catalog,Species
211646,779721a6-8921-4211-b0a7-37eb286e0060,2004-11-14,2015-03-06,,,Specimen,23,-102,MEXICO,North America,North America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Drymaria fenzliana Briq.,Species,,Negatives/Types,Negatives/Types,1778,NA,,NA,NA,H. Ruíz L. & J. A. Pavón,Catalog,Species
211647,d63a5e94-e066-4b3f-a12e-9be3dbd8d0c1,2004-11-14,2015-03-06,,,Specimen,NA,NA,Mexico,North America,North America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Drymaria galeottiana Briq.,Species,,Negatives/Types,Negatives/Types,1840,NA,,NA,NA,H. G. Galeotti,Catalog,Species
211648,fa1a33d3-4b08-4f8b-9f32-7deb7c0cc9bd,2004-11-14,2015-03-06,http://fm-digital-assets.fieldmuseum.org/26/475/10048.jpg,,Specimen,-10.8339,-52.8731,BRAZIL,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Alstroemeria sellowiana Seub.,Species,,Berlin Negatives,Berlin Negatives,NA,NA,,NA,NA,F. Sellow,Catalog,Species
211649,303824d0-026e-4a2f-a089-db425359f195,2004-11-14,2016-01-07,http://fm-digital-assets.fieldmuseum.org/1256/751/31182.jpg,,Specimen,-9.1839,-74.14,PERU,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Drymaria grandiflora Bartl.,Species,,Negatives/Types,Negatives/Types,NA,NA,,NA,NA,T. P. X. Haenke,Catalog,Species
211650,feea1a5b-66e7-4e2e-bd0b-fa4ae3099b37,2004-11-14,2015-03-06,,,Specimen,-9.1839,-74.14,PERU,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Drymaria hirsuta Bartl.,Species,,Negatives/Types,Negatives/Types,1832,NA,,NA,NA,E. F. Poeppig,Catalog,Species
211651,d5b42a61-13ba-499f-9424-8c9b3d05088d,2004-11-14,2015-03-06,,,Specimen,17,-96.5,Mexico,North America,North America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Drymaria hypericifolia Briq.,Species,,Negatives/Types,Negatives/Types,NA,NA,,NA,NA,C. Jürgensen,Catalog,Species
211652,efe9a619-2860-4d9e-a4e0-6f47daa4b47c,2004-11-14,2015-03-06,,,Specimen,15.7422,-90.1792,GUATEMALA,Central America,Central America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Drymaria laxiflora Benth.,Species,,Negatives/Types,Negatives/Types,NA,NA,,NA,NA,K. T. Hartweg,Catalog,Species
211653,c6dea438-6a6b-48b8-9947-43065fa09e58,2004-11-14,2015-03-06,,,Specimen,23,-102,MEXICO,North America,North America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Drymaria malachioides Briq.,Species,,Negatives/Types,Negatives/Types,1840,6,,NA,NA,H. G. Galeotti,Catalog,Species
211654,3307880a-4725-4434-9c91-4c752783b3ba,2004-11-14,2015-03-06,,,Specimen,23,-102,MEXICO,North America,North America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Drymaria nummularia Briq.,Species,,Negatives/Types,Negatives/Types,1840,NA,,NA,NA,H. G. Galeotti,Catalog,Species
211655,e77e81cd-661d-466b-8f08-4d036ce8fd10,2004-11-14,2015-03-06,,,Specimen,-1.4628,-78.1869,ECUADOR,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Drymaria ovata Bonpl. ex Humb. & Willd.,Species,,Negatives/Types,Negatives/Types,NA,NA,,NA,NA,F. W. H. A. von Humboldt & A. J. A. Bonpland,Catalog,Species
211656,98a44368-6a41-4253-9b86-d83e58ea2909,2004-11-14,2016-01-07,http://fm-digital-assets.fieldmuseum.org/1256/754/31183.jpg,,Specimen,23,-102,MEXICO,North America,North America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Drymaria palustris Schltdl. & Cham.,Species,,Negatives/Types,Negatives/Types,NA,NA,,NA,NA,C. J. W. Schiede,Catalog,Species
211657,7d6c21ee-bd56-4bf7-88d5-361451bfe4d6,2004-11-14,2016-01-07,http://fm-digital-assets.fieldmuseum.org/1256/756/31184.jpg,,Specimen,-35.8156,-70.8906,CHILE,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Drymaria paposana Phil.,Species,,Negatives/Types,Negatives/Types,NA,NA,,NA,NA,R. A. Philippi,Catalog,Species
211658,07e1775f-38d1-4ee3-b264-f99d63b9da3f,2004-11-14,2015-03-06,,,Specimen,-1.4628,-78.1869,ECUADOR,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Drymaria stellarioides Willd. ex Schult.,Species,,Negatives/Types,Negatives/Types,NA,NA,,NA,NA,F. W. H. A. von Humboldt & A. J. A. Bonpland,Catalog,Species
211659,3195fabb-de9b-45ef-9fbe-d41d66bcd20d,2004-11-14,2015-03-06,http://fm-digital-assets.fieldmuseum.org/278/277/19142.jpg,,Specimen,-10.8339,-52.8731,BRAZIL,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Abatia tomentosa Mart.,Species,,Negatives/Types,Negatives/Types,NA,NA,,NA,NA,C. F. P. Martius,Catalog,Species
211660,57b24c33-2390-428a-979d-56e4cd2dbe2e,2004-11-14,2015-03-06,http://fm-digital-assets.fieldmuseum.org/427/267/23777.jpg,,Specimen,-23.2025,-58.1689,PARAGUAY,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Abutilon rugosulum Hochr.,Species,,Negatives/Types,Negatives/Types,NA,NA,,NA,NA,É. Hassler,Catalog,Species
211661,d381a282-3220-46dd-90ca-ed76e763182e,2004-11-14,2015-03-06,http://fm-digital-assets.fieldmuseum.org/275/579/18960.jpg,,Specimen,-10.8339,-52.8731,BRAZIL,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Alstroemeria stenopetola Schenck,Species,,Negatives/Types,Negatives/Types,NA,NA,,NA,NA,J. B. E. Pohl,Catalog,Species
211662,365b0fe0-9708-43b4-b47f-5edb82c69032,2004-11-14,2015-03-06,,,Specimen,23,-102,MEXICO,North America,North America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Drymaria virgata Briq.,Species,,Negatives/Types,Negatives/Types,1778,NA,,NA,NA,H. Ruíz L. & J. A. Pavón,Catalog,Species
211663,7fe28ff5-616d-45fc-a5ba-79481fd9f116,2004-11-14,2015-12-07,http://fm-digital-assets.fieldmuseum.org/1246/172/29831.jpg,,Specimen,-9.1839,-74.14,PERU,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Drymaria weberbaueri Muschl.,Species,,Negatives/Types,Negatives/Types,NA,NA,,NA,NA,A. Weberbauer,Catalog,Species
211664,ee813860-0317-4ece-84dd-00dab1394a6a,2004-11-14,2015-03-06,,,Specimen,-9.1839,-74.14,PERU,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Drymonia candida Hanst.,Species,,Negatives/Types,Negatives/Types,1778,NA,,NA,NA,H. Ruíz L. & J. A. Pavón,Catalog,Species
211665,b3ea7b5c-68d9-4eb6-961c-bea0c8fd812a,2004-11-14,2015-03-06,,,Specimen,NA,NA,,CENTRAL AMERICA,CENTRAL AMERICA,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Drymonia mollis Oerst.,Species,,Negatives/Types,Negatives/Types,NA,NA,,NA,NA,A. S. Oersted,Catalog,Species
211666,f4fcbd02-d0e8-45da-a9e7-875b6ef1be57,2004-11-14,2015-03-06,http://fm-digital-assets.fieldmuseum.org/369/556/30415.jpg,,Specimen,23,-102,MEXICO,North America,North America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Dryopeia lotioidea Sessé & Moc.,Species,,Negatives/Types,Negatives/Types,1787,NA,,NA,NA,M. Sessé & J. M. Mociño,Catalog,Species
211667,bbd71bf7-5d14-44c3-9f25-ced636c6ebe2,2004-11-14,2015-10-24,http://fm-digital-assets.fieldmuseum.org/1220/951/34017.jpg,,Specimen,18.2761,-66.3242,PUERTO RICO,Caribbean,Caribbean,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Drypetes alba var. brevipes Müll. Arg.,Variety,,Negatives/Types,Negatives/Types,NA,NA,,NA,NA,Delessert,Catalog,Species
211668,192c66d7-fb25-4930-b3e5-d42a0d02c9c2,2004-11-14,2015-03-06,http://fm-digital-assets.fieldmuseum.org/304/399/7050.jpg,,Specimen,-10.8339,-52.8731,BRAZIL,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Drypetes cyathophora Müll. Arg.,Species,,Negatives/Types,Negatives/Types,1854,12,,NA,NA,R. Spruce,Catalog,Species
211669,c2fb8848-4414-4e7a-b921-6f42146f8380,2004-11-14,2015-10-24,http://fm-digital-assets.fieldmuseum.org/1220/950/34016.jpg,,Specimen,21.5,-80,CUBA,Caribbean,Caribbean,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Drypetes incurva Müll. Arg.,Species,,Negatives/Types,Negatives/Types,1833,NA,,NA,NA,R. de la Sagra,Catalog,Species
211670,541b6f00-9ca8-4978-81a3-0e002f24002d,2004-11-14,2015-03-06,http://fm-digital-assets.fieldmuseum.org/304/400/7049.jpg,,Specimen,-10.8339,-52.8731,BRAZIL,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Drypetes spruceana Müll. Arg.,Species,,Negatives/Types,Negatives/Types,NA,NA,,NA,NA,R. Spruce,Catalog,Species
211671,1ab2c3a3-994f-44ca-9d75-219548b54506,2004-11-14,2015-03-07,http://fm-digital-assets.fieldmuseum.org/24/679/3070.jpg,,Specimen,NA,NA,Brazil,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Duckeodendron cestroides Kuhlm.,Species,,Berlin Negatives,Berlin Negatives,1923,6,,NA,NA,A. Ducke,Catalog,Species
211672,dab47138-05cb-4822-bd95-11e160be16e2,2004-11-14,2015-03-06,http://fm-digital-assets.fieldmuseum.org/26/476/10049.jpg,,Specimen,-35.8156,-70.8906,CHILE,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Alstroemeria violacea Phil.,Species,,Berlin Negatives,Berlin Negatives,NA,NA,,NA,NA,R. A. Philippi,Catalog,Species
211673,77fdc5a5-4b8e-4969-88fa-af0ed209cbf5,2004-11-14,2015-03-06,,,Specimen,3.8811,-72.8667,COLOMBIA,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Dufourea serica Kunth,Species,,Negatives/Types,Negatives/Types,NA,NA,,NA,NA,F. W. H. A. von Humboldt & A. J. A. Bonpland,Catalog,Species
211674,99814a50-842d-4bc1-a5d2-c0b6343ceaf0,2004-11-14,2015-03-06,http://fm-digital-assets.fieldmuseum.org/369/533/30392.jpg,,Specimen,23,-102,MEXICO,North America,North America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Dufresnia biglandulosa Sessé & Moc.,Species,,Negatives/Types,Negatives/Types,1787,NA,,NA,NA,M. Sessé & J. M. Mociño,Catalog,Species
211675,913465cf-5331-461f-979f-b46c972b31f7,2004-11-14,2015-03-06,http://fm-digital-assets.fieldmuseum.org/231/943/6487.jpg,,Specimen,-10.8339,-52.8731,BRAZIL,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Duguetia bracteosa Mart.,Species,,Negatives/Types,Negatives/Types,NA,NA,,NA,NA,NA,Catalog,Species
211676,753c55a6-a207-4ce0-b578-a055c743320a,2004-11-14,2015-03-06,,,Specimen,3.8558,-52.9708,FRENCH GUIANA,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Duguetia calycina Benoist,Species,,Negatives/Types,Negatives/Types,1819,NA,,NA,NA,P. A. Poiteau,Catalog,Species
211677,448c4eed-c598-411d-b32e-980dcc7f7e32,2004-11-14,2015-03-06,,,Specimen,-10.8339,-52.8731,BRAZIL,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Duguetia dicholepidota Mart.,Species,,Negatives/Types,Negatives/Types,NA,NA,,NA,NA,J. S. Blanchet,Catalog,Species
211678,b538be19-eae0-4306-bccc-68ee29234533,2004-11-14,2015-03-06,,,Specimen,3.8558,-52.9708,FRENCH GUIANA,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Duguetia eximia Diels,Species,,Negatives/Types,Negatives/Types,NA,NA,,NA,NA,P. A. Poiteau,Catalog,Species
211679,602fc367-c281-417a-8fd9-fb91de67d8b5,2004-11-14,2015-03-06,,,Specimen,-10.8339,-52.8731,BRAZIL,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Duguetia gardneriana Mart.,Species,,Negatives/Types,Negatives/Types,NA,NA,,NA,NA,G. Gardner,Catalog,Species
211680,b2cc31c2-da24-417a-9516-37733fad40c3,2004-11-14,2015-03-06,,,Specimen,-10.8339,-52.8731,BRAZIL,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Duguetia lanceolata A. St.-Hil.,Species,,Negatives/Types,Negatives/Types,NA,NA,,NA,NA,A. Saint-Hilaire,Catalog,Species
211681,9b7e23dd-6f87-448e-8212-0c5c212236d9,2004-11-14,2015-03-06,http://fm-digital-assets.fieldmuseum.org/30/256/14226.jpg,,Specimen,-10.8339,-52.8731,BRAZIL,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Duguetia lanceolata var. parvifolia (R. E. Fr.) R. E. Fr.,Variety,,Berlin Negatives,Berlin Negatives,NA,NA,,NA,NA,A. F. M. Glaziou,Catalog,Species
211682,04c91cd4-3add-4a0b-aa2a-2a8ef7d7f994,2004-11-14,2015-03-06,http://fm-digital-assets.fieldmuseum.org/231/944/6488.jpg,,Specimen,-10.8339,-52.8731,BRAZIL,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Duguetia leptocarpa Benth.,Species,,Negatives/Types,Negatives/Types,1852,NA,,NA,NA,R. Spruce,Catalog,Species
211683,bb42106f-d81a-4963-8bf8-0bb00527f11b,2004-11-14,2015-03-07,http://fm-digital-assets.fieldmuseum.org/480/322/24709.jpg,,Specimen,-16.7261,-64.435,BOLIVIA,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Altensteinia calceata Rchb. f.,Species,,Negatives/Types,Negatives/Types,NA,NA,,NA,NA,G. Mandon,Catalog,Species
211684,6bcd7fdd-f93b-4c6d-8154-153fea75b124,2004-11-14,2015-03-06,http://fm-digital-assets.fieldmuseum.org/231/945/6489.jpg,,Specimen,-10.8339,-52.8731,BRAZIL,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Duguetia longicuspis Benth.,Species,,Negatives/Types,Negatives/Types,1851,7,,NA,NA,R. Spruce,Catalog,Species
211685,bcc4c94a-26b1-482a-91e4-1630d014983e,2004-11-14,2015-03-06,,,Specimen,-10.8339,-52.8731,BRAZIL,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Duguetia moricandiana Mart.,Species,,Negatives/Types,Negatives/Types,NA,NA,,NA,NA,J. S. Blanchet,Catalog,Species
211686,7705fe4b-31fb-44e8-8018-9f4c3040d3e1,2004-11-14,2015-03-06,,,Specimen,4.7364,-58.7017,GUYANA,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Duguetia neglecta Sandwith,Species,,Negatives/Types,Negatives/Types,1926,4,,NA,NA,A. H. G. Alston,Catalog,Species
211687,d535fad4-03c7-4008-be8d-07312f7f0827,2004-11-14,2015-03-06,http://fm-digital-assets.fieldmuseum.org/231/946/6490.jpg,,Specimen,-10.8339,-52.8731,BRAZIL,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Duguetia pohliana Mart.,Species,,Negatives/Types,Negatives/Types,NA,NA,,NA,NA,J. B. E. Pohl,Catalog,Species
211688,79ff32e9-c3f8-4f09-951d-eb0c38354e4a,2004-11-14,2015-03-06,,,Specimen,5,-59,BRITISH GUIANA [Guyana],South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Duguetia quitarensis Benth.,Species,,Negatives/Types,Negatives/Types,1838,NA,,NA,NA,R. H. Schomburgk,Catalog,Species
211689,43f99f52-b906-4114-966f-a6c53d653cab,2004-11-14,2015-03-06,,,Specimen,-10.8339,-52.8731,BRAZIL,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Duguetia riedeliana R. E. Fr.,Species,,Negatives/Types,Negatives/Types,NA,NA,,NA,NA,A. F. M. Glaziou,Catalog,Species
211690,9a0a6bae-d354-44f8-a527-6db56294db8f,2004-11-14,2015-03-06,,,Specimen,-10.8339,-52.8731,BRAZIL,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Duguetia riparia Huber,Species,,Negatives/Types,Negatives/Types,1899,12,,NA,NA,J. E. Huber,Catalog,Species
211691,475a055d-7f29-40fa-8ee5-dc413fb0a545,2004-11-14,2015-03-06,http://fm-digital-assets.fieldmuseum.org/231/947/6491.jpg,,Specimen,-10.8339,-52.8731,BRAZIL,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Duguetia spixiana Mart.,Species,,Negatives/Types,Negatives/Types,1820,NA,,NA,NA,C. F. P. Martius,Catalog,Species
211692,0e35823d-e2f2-4c57-8094-29d097c5a64c,2004-11-14,2015-03-06,,,Specimen,-9.1839,-74.14,PERU,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Duguetia tessmannii R. E. Fr.,Species,,Negatives/Types,Negatives/Types,1924,NA,,NA,NA,G. Tessmann,Catalog,Species
211693,731fe4a3-3061-4087-bc02-b283005307a0,2004-11-14,2015-03-06,http://fm-digital-assets.fieldmuseum.org/231/948/6492.jpg,,Specimen,-10.8339,-52.8731,BRAZIL,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Duguetia uniflora (DC.) Mart.,Species,,Negatives/Types,Negatives/Types,1819,10,,NA,NA,C. F. P. Martius,Catalog,Species
211694,bc831b37-4fc5-4703-bb29-d9c8dabce685,2004-11-14,2015-03-07,http://fm-digital-assets.fieldmuseum.org/480/323/24710.jpg,,Specimen,-9.1839,-74.14,PERU,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Altensteinia inaequalis Rchb. f.,Species,,Negatives/Types,Negatives/Types,NA,NA,,NA,NA,W. Lechler,Catalog,Species
211695,37ef647f-a357-4547-bdb9-14af4831fb41,2004-11-14,2015-03-07,,,Specimen,-22,-42.5,Brazil,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Dulacia glazioviana Taub.,Species,,Negatives/Types,Negatives/Types,1872,10,,NA,NA,A. F. M. Glaziou,Catalog,Species
211696,c0025d28-76c9-4a3f-a33c-7fe24dd8946f,2004-11-14,2015-03-06,,,Specimen,7.0758,-65.9119,VENEZUELA,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Dulacia macrophylla (Benth.) Kuntze,Species,,Negatives/Types,Negatives/Types,NA,NA,,NA,NA,R. Spruce,Catalog,Species
211697,2b6505f5-cc84-4d13-8ba6-1d83727b420e,2004-11-14,2015-03-06,,,Specimen,-10.8339,-52.8731,BRAZIL,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Dulacia singularis Vell.,Species,,Negatives/Types,Negatives/Types,NA,NA,,NA,NA,A. F. M. Glaziou,Catalog,Species
211698,747c5a38-7c24-488f-bcc8-7e5a8bee15fb,2004-11-14,2015-10-24,http://fm-digital-assets.fieldmuseum.org/1220/783/33828.jpg,,Specimen,23,-102,MEXICO,North America,North America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Dumerilia alamani DC.,Species,,Negatives/Types,Negatives/Types,1831,NA,,NA,NA,Allman,Catalog,Species
211699,eaa5ecc8-ab44-488b-9bb7-9e223f0836af,2004-11-14,2015-03-06,,,Specimen,-9.1839,-74.14,PERU,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Dumerilia paniculata DC.,Species,,Negatives/Types,Negatives/Types,NA,NA,,NA,NA,A. de Jussieu,Catalog,Species
