irn,DarGlobalUniqueIdentifier,AdmDateInserted,AdmDateModified,DarImageURL,DarIndividualCount,DarBasisOfRecord,DarLatitude,DarLongitude,DarCountry,DarContinent,DarContinentOcean,DarWaterBody,DarCollectionCode,DarEarliestAge,DarEarliestEon,DarEarliestEpoch,DarEarliestEra,DarEarliestPeriod,AttPeriod_tab,DesEthnicGroupSubgroup_tab,DesMaterials_tab,DarOrder,DarScientificName,ClaRank,ComName_tab,DarRelatedInformation,CatProject_tab,DarYearCollected,DarMonthCollected,EcbNameOfObject,CatLegalStatus,DarCatalogNumber,DarCollector,RecordType,TaxIDRank
211949,bfb15e52-79ff-46b4-9735-8f1f6dfb0047,2004-11-14,2015-03-06,http://fm-digital-assets.fieldmuseum.org/24/814/3215.jpg,,Specimen,-23.2025,-58.1689,PARAGUAY,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Alternanthera hassleriana Chodat,Species,,Berlin Negatives,Berlin Negatives,1901,8,,NA,NA,É. Hassler,Catalog,Species
211950,a1a9f25b-1232-41d1-9084-8b7c3d905c50,2004-11-14,2015-03-06,,,Specimen,7.0758,-65.9119,VENEZUELA,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Edmondia spectabilis Cogn.,Species,,Negatives/Types,Negatives/Types,NA,NA,,NA,NA,A. Fendler,Catalog,Species
211951,ba1c4928-6186-492f-aaf1-06652414695c,2004-11-14,2015-09-11,http://fm-digital-assets.fieldmuseum.org/1179/630/33318.jpg,,Specimen,-35.8156,-70.8906,CHILE,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Egana pallida Phil.,Species,,Negatives/Types,Negatives/Types,NA,NA,,NA,NA,R. A. Philippi,Catalog,Species
211952,65e18d15-39fb-488e-bb8f-06e2b7bd1f71,2004-11-14,2017-02-23,http://fm-digital-assets.fieldmuseum.org/1527/519/33169.jpg,,Specimen,-35.8156,-70.8906,CHILE,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Egletes floribunda Poepp.,Species,,Negatives/Types,Negatives/Types,1832,NA,,NA,,,Catalog,Species
211953,78a2b327-baed-4d06-b64e-d6259a757223,2004-11-14,2015-03-06,,,Specimen,23,-102,MEXICO,North America,North America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Egletes liebmannii Sch. Bip. ex Klatt,Species,,Negatives/Types,Negatives/Types,NA,NA,,NA,NA,F. M. Liebmann,Catalog,Species
211954,0fd3052f-5dc9-4058-ae83-d14a10784436,2004-11-14,2015-03-06,,,Specimen,3.8811,-72.8667,COLOMBIA,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Egletes lindenii Sch. Bip.,Species,,Negatives/Types,Negatives/Types,1844,NA,,NA,NA,J. J. Linden,Catalog,Species
211955,b8f6aa2d-a142-4b6a-90b4-bfd98d008a46,2004-11-14,2015-03-06,,,Specimen,7.0758,-65.9119,VENEZUELA,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Ehretia fasciculata Kunth,Species,,Negatives/Types,Negatives/Types,NA,NA,,NA,NA,F. W. H. A. von Humboldt & A. J. A. Bonpland,Catalog,Species
211956,586bbbb5-3c7d-46f4-a378-627aba190f81,2004-11-14,2015-03-06,,,Specimen,NA,NA,,SOUTH AMERICA,SOUTH AMERICA,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Ehretia ternifolia Kunth,Species,,Negatives/Types,Negatives/Types,NA,NA,,NA,NA,F. W. H. A. von Humboldt & A. J. A. Bonpland,Catalog,Species
211957,87e84224-e96b-4192-8ab9-c174455491c4,2004-11-14,2015-03-06,http://fm-digital-assets.fieldmuseum.org/275/578/18946.jpg,,Specimen,-10.8339,-52.8731,BRAZIL,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Eichhornia graminea Seub.,Species,,Negatives/Types,Negatives/Types,NA,NA,,NA,NA,J. B. E. Pohl,Catalog,Species
211958,1f64cb32-40e2-468d-a35e-42b97930f02f,2004-11-14,2015-03-06,http://fm-digital-assets.fieldmuseum.org/278/866/18947.jpg,,Specimen,-10.8339,-52.8731,BRAZIL,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Eichhornia martiusiana Seub.,Species,,Negatives/Types,Negatives/Types,NA,NA,,NA,NA,C. F. P. Martius,Catalog,Species
211959,afcb60f7-bfaf-47a4-abee-106e8002bd01,2004-11-14,2015-03-06,http://fm-digital-assets.fieldmuseum.org/278/867/18948.jpg,,Specimen,-10.8339,-52.8731,BRAZIL,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Eichhornia schultiesiana Seub.,Species,,Negatives/Types,Negatives/Types,NA,NA,,NA,NA,C. F. P. Martius,Catalog,Species
211960,3465ea0e-7db2-4532-954e-7f8611f2719b,2004-11-14,2015-03-06,http://fm-digital-assets.fieldmuseum.org/24/815/3216.jpg,,Specimen,-35.8156,-70.8906,CHILE,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Alternanthera juncea Phil.,Species,,Berlin Negatives,Berlin Negatives,NA,NA,,NA,NA,R. A. Philippi,Catalog,Species
211961,59ae66cf-2c61-41d9-82b8-9613a4a56744,2004-11-14,2015-03-06,,,Specimen,17.6667,-100,Mexico,North America,North America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Eichlerodendron mexicanum Sleumer,Species,,Negatives/Types,Negatives/Types,NA,NA,,NA,NA,E. Langlassé,Catalog,Species
211962,005c5730-0f32-4e3e-b145-8332d57ee110,2004-11-14,2016-01-07,http://fm-digital-assets.fieldmuseum.org/1256/660/31126.jpg,,Specimen,10.0114,-83.9519,COSTA RICA,Central America,Central America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Elaeagia auriculata Hemsl.,Species,,Negatives/Types,Negatives/Types,NA,NA,,NA,NA,A. R. Endres,Catalog,Species
211963,4d57bcf4-700b-4792-9602-697bf38b4606,2004-11-14,2015-03-06,http://fm-digital-assets.fieldmuseum.org/22/027/63.jpg,,Specimen,-9.1839,-74.14,PERU,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Elaeagia mariae Wedd.,Species,,Berlin Negatives,Berlin Negatives,NA,NA,,NA,NA,A. Raimondi,Catalog,Species
211964,86c87468-06e9-4841-aa01-49b1c2889971,2004-11-14,2015-03-06,http://fm-digital-assets.fieldmuseum.org/22/038/64.jpg,,Specimen,-9.1839,-74.14,PERU,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Elaeagia mariae Wedd.,Species,,Berlin Negatives,Berlin Negatives,NA,NA,,NA,NA,A. Raimondi,Catalog,Species
211965,e97fceba-f46c-482a-bb52-817ec878cf0e,2004-11-14,2017-03-24,http://fm-digital-assets.fieldmuseum.org/1541/979/25581.jpg,,Specimen,3.8811,-72.8667,COLOMBIA,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Elaeagia utilis (Goudot) Wedd.,Species,,Negatives/Types,Negatives/Types,NA,NA,,NA,NA,H. P. Goudet,Catalog,Species
211966,3724ca86-c41a-4dcd-8b6d-af0fa039560f,2004-11-14,2015-03-06,http://fm-digital-assets.fieldmuseum.org/369/491/30350.jpg,,Specimen,23,-102,MEXICO,North America,North America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Elaphrium copalliferum DC.,Species,,Negatives/Types,Negatives/Types,NA,NA,,NA,NA,M. Sessé & J. M. Mociño,Catalog,Species
211967,604cbb4a-9236-4d2e-9a9d-cf1b84510ad2,2004-11-14,2015-03-06,http://fm-digital-assets.fieldmuseum.org/369/716/30587.jpg,,Specimen,23,-102,MEXICO,North America,North America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Elaphrium copalliferum DC.,Species,,Negatives/Types,Negatives/Types,NA,NA,,NA,NA,M. Sessé & J. M. Mociño,Catalog,Species
